arg-id,x,y,probability,cluster-id
A171_0,8.150074,0.64241654,1.0,2
A172_0,3.7574532,2.7031868,1.0,3
A172_1,8.61867,1.4706868,1.0,2
A172_2,7.50732,1.6438103,1.0,2
A172_3,3.6326413,2.7613306,1.0,3
A172_4,7.8205585,3.6506565,1.0,8
A173_0,3.8277915,2.9028654,1.0,3
A173_1,6.900387,1.918037,1.0,5
A174_0,8.055134,0.4733171,1.0,2
A176_0,7.0433435,1.6002206,1.0,2
A180_0,8.554053,0.099507876,0.9628802106803014,23
A180_1,8.448527,0.20388012,1.0,23
A180_2,8.480329,2.813145,1.0,4
A180_3,10.772146,2.7806299,0.7993560792168161,15
A180_4,8.505058,0.47907564,1.0,23
A181_0,8.467559,0.43822098,1.0,23
A181_1,8.498852,0.37057152,1.0,23
A182_0,8.497857,0.35824108,1.0,23
A182_1,8.532552,0.5119224,1.0,23
A182_2,8.488033,0.30302244,1.0,23
A182_3,8.431258,0.42030784,1.0,23
A183_0,4.1324673,1.629555,1.0,18
A183_1,8.512981,0.41567028,1.0,23
A185_0,7.5376177,-0.4328959,1.0,17
A185_1,4.2922993,2.4273329,1.0,18
A186_0,7.0204735,1.5770084,1.0,2
A186_1,6.2181015,5.584705,1.0,14
A186_2,9.136043,3.1657887,1.0,4
A186_3,8.148243,0.5476899,1.0,2
A186_4,4.044786,3.202615,1.0,3
A186_5,3.9708114,3.435293,1.0,3
A186_6,11.289445,2.6656168,0.8704144569525342,26
A186_7,4.8880835,1.9559093,0.8089366423085015,18
A187_0,8.494342,0.39494064,1.0,23
A187_1,7.737302,4.1735716,1.0,8
A187_2,4.1578135,2.9518926,1.0,3
A187_3,8.768586,0.79009116,1.0,23
A187_4,7.570618,-0.023453647,1.0,17
A187_5,8.897214,0.8811837,1.0,23
A188_0,7.7964163,0.073177494,1.0,17
A188_1,6.9810343,1.6045234,1.0,2
A188_2,6.5755925,1.8822342,1.0,5
A190_0,8.377614,0.7462961,1.0,2
A190_1,8.205969,0.84808546,1.0,2
A190_2,5.48437,0.8597942,1.0,5
A192_0,3.898397,2.6984935,1.0,3
A195_0,5.6446896,1.1592834,1.0,5
A195_1,5.2395573,0.49896097,1.0,20
A195_2,5.358797,0.45123884,1.0,20
A198_0,6.73322,2.7327251,1.0,29
A198_1,8.017854,0.44112244,1.0,2
A198_2,7.887461,1.3944377,1.0,2
A198_3,4.035172,1.7996485,1.0,18
A203_0,10.355613,3.0944958,1.0,15
A203_1,10.477267,6.4967055,1.0,9
A203_2,2.2516785,4.3192086,1.0,12
A204_0,6.961169,1.5084043,1.0,2
A204_1,4.933787,0.3480114,1.0,20
A204_2,8.758105,1.5013587,1.0,2
A204_3,4.3775096,2.5314965,1.0,18
A205_0,7.167777,1.5434521,1.0,2
A205_1,7.6021724,3.7005298,1.0,8
A205_2,7.399344,1.2444589,1.0,2
A205_3,7.573499,2.1602776,1.0,2
A206_0,7.478886,2.160814,1.0,2
A206_1,7.0990486,1.6077573,1.0,2
A208_0,7.1810155,1.0450585,1.0,2
A208_1,4.118045,1.7089179,1.0,18
A208_2,8.43446,1.4053029,1.0,2
A208_3,5.0989685,0.723903,1.0,20
A208_4,6.2230034,5.209739,1.0,14
A209_0,6.954008,1.573748,1.0,2
A209_1,7.0089583,1.6818482,1.0,2
A209_2,6.9719625,1.6033021,1.0,2
A213_0,7.2666426,1.9122087,1.0,2
A214_0,7.033674,1.5679244,1.0,2
A214_1,5.3579807,0.7141336,1.0,20
A214_2,5.525573,1.0393472,1.0,5
A214_3,7.079975,1.8438262,1.0,2
A214_4,6.971974,1.6001914,1.0,2
A214_5,10.153268,3.353658,1.0,15
A214_6,11.10059,3.107977,0.901133781876771,15
A214_7,11.091503,3.19902,1.0,15
A215_0,7.3265166,1.7071136,1.0,2
A215_1,11.108426,3.1365786,0.9831156544505304,15
A215_2,7.1713924,2.8495839,1.0,29
A215_3,8.141161,0.8732259,1.0,2
A215_4,6.725641,3.4144118,1.0,29
A215_5,6.2367935,3.5358968,1.0,29
A216_0,8.940575,2.0769682,1.0,4
A216_1,9.098964,2.5934346,1.0,4
A217_0,7.1441603,1.4109352,1.0,2
A217_1,8.51301,0.385208,1.0,23
A217_2,9.322588,1.7696913,1.0,4
A217_3,4.3302493,2.3159213,1.0,18
A218_0,9.141713,2.290099,1.0,4
A218_1,7.4273415,1.7692776,1.0,2
A218_2,9.318275,0.26411796,1.0,23
A218_3,7.1067824,3.2386017,1.0,29
A220_0,3.9141316,1.5112115,1.0,18
A220_1,3.9100769,1.5141232,1.0,18
A223_0,6.874706,0.6367458,0.9937966457490308,2
A223_1,7.0682325,0.95989966,1.0,2
A223_2,7.0384207,3.1323118,1.0,29
A223_3,7.0647473,3.6487634,1.0,29
A226_0,9.130527,2.0394962,1.0,4
A226_1,8.193692,0.92404234,1.0,2
A226_2,8.915924,1.7115372,1.0,4
A226_3,8.507825,1.3168893,1.0,2
A229_0,4.271617,2.014931,1.0,18
A229_1,4.27667,2.1577325,1.0,18
A229_2,4.2593803,2.149166,1.0,18
A229_3,4.2846184,2.1156228,1.0,18
A231_0,8.415826,0.95619196,1.0,2
A231_1,8.373357,0.46069747,1.0,23
A232_0,7.1406,1.7611533,1.0,2
A232_1,5.4440126,1.1223629,1.0,5
A232_2,7.085146,1.6178912,1.0,2
A232_3,6.3619456,2.8247926,0.8131078336462213,29
A232_4,6.3099184,5.1567664,1.0,7
A232_5,6.295275,4.582411,1.0,7
A233_0,6.4726605,5.1920834,1.0,7
A233_1,6.392901,5.013719,1.0,7
A233_2,11.029974,2.9073777,0.8967488927643712,15
A233_3,11.057878,3.1452806,1.0,15
A233_4,11.278269,2.9701169,1.0,15
A233_5,11.260869,2.959327,1.0,15
A233_6,11.017044,3.2524755,1.0,15
A233_7,11.0109625,3.2791553,1.0,15
A233_8,11.20687,3.061119,0.8018546458838328,15
A233_9,10.80445,3.1907964,0.9499064152144864,15
A233_10,11.093627,3.1413648,0.9980109317563648,15
A233_11,11.110574,3.074092,0.8401907426133399,15
A233_12,11.12432,3.1630003,1.0,15
A233_13,11.265061,2.9622903,1.0,15
A233_14,11.126007,3.185906,1.0,15
A233_15,11.050835,3.212476,1.0,15
A236_0,7.350473,1.1756521,1.0,2
A236_1,8.462716,1.8328725,1.0,4
A239_0,8.221742,1.6304625,1.0,2
A239_1,9.193609,2.1292448,1.0,4
A241_0,6.9519367,3.3390782,1.0,29
A241_1,7.517535,3.6710124,1.0,29
A241_2,6.9456806,2.6930988,1.0,29
A241_3,7.3925,3.0136833,1.0,29
A243_0,10.289356,0.97639984,0.8966310996520985,6
A243_1,10.365701,1.8120633,1.0,6
A243_2,8.271577,0.66712874,1.0,2
A243_3,8.178732,2.156796,1.0,4
A243_4,9.32501,2.240052,1.0,4
A243_5,8.433754,0.8788487,1.0,2
A243_6,9.633792,0.59978807,1.0,23
A243_7,7.986978,0.8378537,1.0,2
A245_0,8.50198,0.4002459,1.0,23
A245_1,8.503558,0.4109173,1.0,23
A245_2,4.140074,2.68885,1.0,18
A245_3,8.86963,1.3674723,1.0,23
A185001345000000001_0,4.4114594,1.689104,1.0,18
A185001345000000001_1,4.430905,1.6740261,1.0,18
A185001345000000002_0,8.930696,1.4743737,1.0,4
A185001345000000002_1,9.058665,1.1817495,1.0,23
A185001345000000002_2,9.141998,4.0814743,1.0,1
A185001345000000002_3,4.7668805,3.9317467,1.0,24
A185001345000000003_0,6.0527673,0.076270916,1.0,10
A185001345000000003_1,6.916914,3.2853446,1.0,29
A185001345000000003_2,8.829716,0.56385577,1.0,23
A185001345000000003_3,7.034166,2.0204508,1.0,2
A185001345000000003_4,3.9088056,2.6844993,1.0,3
A185001345000000003_5,7.7430387,3.2097232,1.0,29
A185001345000000003_6,5.670448,1.4015449,1.0,5
A185001345000000003_7,3.5610204,5.151302,1.0,22
A185001345000000004_0,10.027792,6.4307213,1.0,9
A185001345000000004_1,9.236852,6.445816,1.0,28
A185001345000000004_2,6.0134325,1.719477,1.0,5
A185001345000000004_3,5.596516,1.1513509,1.0,5
A185001345000000004_4,5.0758615,0.54258645,1.0,20
A185001345000000004_5,3.0768244,3.602913,1.0,3
A185001345000000006_0,9.9925585,6.5322127,1.0,28
A185001345000000006_1,6.038249,0.7852158,1.0,5
A185001345000000006_2,7.085328,2.9947202,1.0,29
A185001345000000007_0,7.900002,1.2411336,1.0,2
A185001345000000007_1,7.980654,0.39046818,1.0,2
A185001345000000007_2,4.6163726,0.32418677,1.0,20
A185001345000000007_3,5.328595,0.5466336,1.0,20
A185001345000000009_0,6.637294,3.6471999,1.0,29
A185001345000000009_1,9.42685,2.368965,1.0,4
A185001345000000009_2,7.081473,3.0291698,1.0,29
A185001345000000009_3,6.216042,5.3220887,1.0,14
A185001345000000010_0,3.8294413,2.26745,0.0,18
A185001345000000010_1,8.3708935,0.9103788,1.0,2
A185001345000000010_2,4.2189507,4.9932156,1.0,13
A185001345000000010_3,7.2330775,1.3568519,1.0,2
A185001345000000011_0,8.195888,0.8869701,1.0,2
A185001345000000012_0,10.203889,1.5792236,1.0,6
A185001345000000012_1,10.757821,2.342814,1.0,6
A185001345000000012_2,9.5596285,0.3421309,1.0,23
A185001345000000013_0,5.4307637,0.96718836,1.0,5
A185001345000000013_1,6.6016517,5.4641438,1.0,7
A185001345000000013_2,7.3069305,5.9799867,1.0,0
A185001345000000013_3,8.264965,1.9297677,1.0,4
A185001345000000013_4,8.472796,2.4138403,1.0,4
A185001345000000013_5,5.533689,0.8753396,1.0,5
